11	*Вы начали этот бой, генерал. А закончу его я
13	*Два воина сходятся на поле боя. Кто скажет, кто победит? Я скажу, вот кто. Я. Вы падёте, генерал
16	*Вы на последнем издыхании, генерал. И только теперь поняли, что фитиль уже подожжён
26	*Мы помедитируем и обдумаем следующий ход
32	*Ваш аэродром приземлили, генерал
35	*Пало столько ваших зданий, что я уже давно ждал вашей капитуляции
47	*Решили поднять эффективность нефтеперерабатывающим заводом, генерал? Толковая стратегия помогла бы вам куда больше
62	*Вашей обороны недостаточно, генерал
75	*Столько обороны… Вижу, вы уважаете противника как подобает
77	*На каждый ваш самолёт найдётся наш, генерал. Ваше превосходство — лишь плод вашего воображения
88	*Мудрое решение — построить военный завод, генерал
93	*Меня не победит такой, как вы, генерал
111	*Большинство врагов бежали бы при виде моих армий. Возможно, будет всё-таки интересно
120	*Вы посмели бросить мне вызов — теперь пожнёте страшные плоды
129	*Не надоело гибнуть о мою оборону, генерал?
172	*Наша земля живёт без электричества… жаль, что ваша база без него никак
