26	*А вот и ливень террора, генерал
30	*Пора идти ва-банк. Всем в атаку!
77	*Вам мало потерь, генерал?
82	*Звуковой удар, детка. Погнали!
83	*Похоже, пора мне устраиваться пилотом в гражданскую авиацию
101	*Генерал, знаете, как работает объёмно-детонирующая бомба? Как насчёт наглядной демонстрации?
103	*Знаете, как остановить A-10, генерал? Я тоже не знаю
114	*<саркастично> Чувствуете, что вас задавили числом, генерал?
115	*(гибнет китайская пехота) <сердито> У нас таких ещё миллиард
118	*<кричит> Шагом марш!
133	*<саркастично> Какой тактикой вы удивите меня теперь, генерал?
148	*Мой военный завод для победы не так уж важен, но не смейте уничтожать ещё один
158	*Думаете, этим нефтеперерабатывающим заводом может пользоваться кто угодно? Немедленно верните его мне
