16	*Накрывай на стол, малыш, мы идём ужинать
23	*Пора познакомить тебя с тыльной стороной моей ладони
26	*Я войду на твою базу и дам тебе пинка под зад, <саркастично> «генерал».
62	*Думаешь, справишься с этой артиллерийской платформой, сынок?
63	*Этот нефтеперерабатывающий завод — не цель, сынок. И он не твой, так что мы идём его возвращать
86	*Ой-ой, похоже, придётся жить в долг
95	*Давай свои Скады, сопляк, — я покажу тебе настоящий шторм
97	*Молекулярный луч, да? Лучше добей меня им сразу, потому что моя контратака тебе не понравится
114	*Почему бы тебе просто не сдаться, <саркастично> «генерал».
115	*Парень, я отделал тебя, как старый барабан. Кто вообще дал тебе командовать? Хочу им пару ласковых сказать
137	*О, генерал, вы должны это увидеть… это просто бомба. <детский смех>
148	*Ой… ваше технологическое здание сделало «бум»
160	*Мы отстроим этот командный центр, генерал, а вы поплатитесь за эту дерзость
165	*Хорошо, генерал, захватите нефтеперерабатывающий завод… они так эффектно взрываются
178	*А, вижу, мы задели одну из ваших линий электропередачи. Надеюсь, свет у вас отключили ненадолго
